Sat Mar 14 10:37:54 +0000 2020	1238776359444516864	1238776359444516864	In this time of #CoronaOutbreak our leaders should have limited their world throttling to help in curving the spray… https://t.co/Mk8z5SgsCz	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '009c390b0b5a23de', 'url': 'https://api.twitter.com/1.1/geo/id/009c390b0b5a23de.json', 'place_type': 'city', 'name': 'Bauchi', 'full_name': 'Bauchi, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[9.766631, 10.264858], [9.766631, 10.367024], [9.884417, 10.367024], [9.884417, 10.264858]]]}, 'attributes': {}}	None	287919665	287919665	Sa'ad Sashy	sashynee	Nigeria	Be fair and act justly, you get my support. Not against anyone personally.  Retweet not endorsement.	009c390b0b5a23de	https://api.twitter.com/1.1/geo/id/009c390b0b5a23de.json	city	Bauchi	Bauchi, Nigeria	NG	Nigeria	NULL	Polygon	[[[9.766631, 10.264858], [9.766631, 10.367024], [9.884417, 10.367024], [9.884417, 10.264858]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 10:28:38 +0000 2020	1238774029626019841	1238774029626019841	Forget Cesc, #UltmateLoveNg #CoronaVirusUpdates #CoronaOutbreak #COVIDー19 #UltmateLoveNg #coronaInkenya #Roksie… https://t.co/2xpiYlCSNs	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00817d75276a95cf', 'url': 'https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', 'place_type': 'city', 'name': 'Lagos', 'full_name': 'Lagos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]}, 'attributes': {}}	None	1473262507	1473262507	Arc. SunnySizzle	architectsunepa	London, England	ARCHITECT/SINGLE/FARMER/BUSINESSMAN/SNAIL MERCHANT/CHELSEA FC/MUSIC LOVER/ART LOVER/PROUD AKWAIBOMITE/LAGOS BLOOD/OAU ALUMNI/GODSON/You ff. i ffb	00817d75276a95cf	https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json	city	Lagos	Lagos, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 10:09:27 +0000 2020	1238769201453694977	1238769201453694977	What this #CoronaOutbreak will cause...hmm https://t.co/ZSQyu5XjCW	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00b1231d2214913c', 'url': 'https://api.twitter.com/1.1/geo/id/00b1231d2214913c.json', 'place_type': 'city', 'name': 'Abeokuta', 'full_name': 'Abeokuta, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.271321, 7.099668], [3.271321, 7.209188], [3.433562, 7.209188], [3.433562, 7.099668]]]}, 'attributes': {}}	None	1003357143091810304	1003357143091810304	dara tosin	DaraTosin	Nigeria	Director/Producer/Content Creator/Cinematographer/Drone pilot. Ceo: @morebrainsfilm @ibumediaproductionltd @documentaryafricatv. Founder creativemindinitiative	00b1231d2214913c	https://api.twitter.com/1.1/geo/id/00b1231d2214913c.json	city	Abeokuta	Abeokuta, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.271321, 7.099668], [3.271321, 7.209188], [3.433562, 7.209188], [3.433562, 7.099668]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 09:20:09 +0000 2020	1238756794136252416	1238756794136252416	I don't know that girls like bold voice like this.Stay safe #SaturdayThoughts #SaturdayMotivation… https://t.co/frPTVZzzU4	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '01582c07092232af', 'url': 'https://api.twitter.com/1.1/geo/id/01582c07092232af.json', 'place_type': 'city', 'name': 'Samaru', 'full_name': 'Samaru, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.598873, 11.130599], [7.598873, 11.184429], [7.693481, 11.184429], [7.693481, 11.130599]]]}, 'attributes': {}}	None	799786550	799786550	The_Optimist	jack_el_sparrow	Kano,nigeria	Young , Dumb , and Broke.😂😂😂	01582c07092232af	https://api.twitter.com/1.1/geo/id/01582c07092232af.json	city	Samaru	Samaru, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.598873, 11.130599], [7.598873, 11.184429], [7.693481, 11.184429], [7.693481, 11.130599]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 09:18:41 +0000 2020	1238756427264602112	1238756427264602112	If health is being paid for then other stuffs like insecurity/security should also be constantly paid for. I should… https://t.co/BeeFqI0sap	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1238756425159016448	1238756425159016448	3008918570	3008918570	Theo_Agbolade	None	None	{'id': '012d63e97ff5a7b5', 'url': 'https://api.twitter.com/1.1/geo/id/012d63e97ff5a7b5.json', 'place_type': 'city', 'name': 'Jos', 'full_name': 'Jos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[8.833711, 9.858109], [8.833711, 9.967489], [8.938928, 9.967489], [8.938928, 9.858109]]]}, 'attributes': {}}	None	3008918570	3008918570	THEOPHILUS	Theo_Agbolade	None	I don't care much for apologies and pleasantries.Now that you're here hit the follow button cos I follow right back.	012d63e97ff5a7b5	https://api.twitter.com/1.1/geo/id/012d63e97ff5a7b5.json	city	Jos	Jos, Nigeria	NG	Nigeria	NULL	Polygon	[[[8.833711, 9.858109], [8.833711, 9.967489], [8.938928, 9.967489], [8.938928, 9.858109]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 09:02:52 +0000 2020	1238752447247650818	1238752447247650818	I go miss @premierleague , didn’t want the form of @ManUtd to be halted. I hope it continues whenever the world’s b… https://t.co/VzyYJMKS26	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '00e55e2b4c491c5f', 'url': 'https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json', 'place_type': 'city', 'name': 'Abuja', 'full_name': 'Abuja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]}, 'attributes': {}}	None	3899570483	3899570483	Felix Chika	navidolenu	Nigeria	Realtor || Financial Advisor || Writer || Innovator || Investor || Football Lover @manutd || God Loves me || Fav Quote: It is what it is 🤘🏿	00e55e2b4c491c5f	https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json	city	Abuja	Abuja, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 09:00:46 +0000 2020	1238751915326005248	1238751915326005248	I just flip the switch🎶🎶#fliptheswitchchallenge #COVIDー19 #CoronaOutbreak https://t.co/U4hZRhUuJ6	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '01aca86a155c9099', 'url': 'https://api.twitter.com/1.1/geo/id/01aca86a155c9099.json', 'place_type': 'city', 'name': 'Enugu', 'full_name': 'Enugu, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.454221, 6.377634], [7.454221, 6.504863], [7.586862, 6.504863], [7.586862, 6.377634]]]}, 'attributes': {}}	None	1036560681192091648	1036560681192091648	Filiks	fair__licks	Nigeria	I like my Fanta with no ice	01aca86a155c9099	https://api.twitter.com/1.1/geo/id/01aca86a155c9099.json	city	Enugu	Enugu, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.454221, 6.377634], [7.454221, 6.504863], [7.586862, 6.504863], [7.586862, 6.377634]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 08:54:13 +0000 2020	1238750270361948160	1238750270361948160	Anything to distract a bit and calm the World's Nerves. This Corona shit is something else. #CoronaVirusUpdates… https://t.co/jFEoO5YK0Y	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00e55e2b4c491c5f', 'url': 'https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json', 'place_type': 'city', 'name': 'Abuja', 'full_name': 'Abuja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]}, 'attributes': {}}	None	626384102	626384102	yang, E	_Alhaji_EL	Nigeria | Sweden | Australia 	A man with visions and actively pursuing all. Don't kill yourself cause of my tweets, it's not that deep plus I have rights of opinion. Do yours.	00e55e2b4c491c5f	https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json	city	Abuja	Abuja, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 08:51:13 +0000 2020	1238749514103742464	1238749514103742464	And we thought #CoronaVirusUpdates #coronapocalypse #ukcoronavirus #NationalEmergency #QuarantineAndChill… https://t.co/VggYdSWMmv	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '0008cb6457ff0b55', 'url': 'https://api.twitter.com/1.1/geo/id/0008cb6457ff0b55.json', 'place_type': 'city', 'name': 'Port Harcourt', 'full_name': 'Port Harcourt, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[6.938066, 4.73377], [6.938066, 4.91549], [7.124485, 4.91549], [7.124485, 4.73377]]]}, 'attributes': {}}	None	399573906	399573906	Zaza🎩🌂💨	airnicol31	None	God over everything ... Football lover @Chelseafc, Fashionista👑👘👗👔👚, Entrepreneur 🇳🇬 🇨🇦🇱🇷 🇪🇸 🇬🇭 🇨🇲 Traveller🌏🥰	0008cb6457ff0b55	https://api.twitter.com/1.1/geo/id/0008cb6457ff0b55.json	city	Port Harcourt	Port Harcourt, Nigeria	NG	Nigeria	NULL	Polygon	[[[6.938066, 4.73377], [6.938066, 4.91549], [7.124485, 4.91549], [7.124485, 4.73377]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 08:43:14 +0000 2020	1238747505162158081	1238747505162158081	You see this virus, it doesn't discriminate. Old, young, white, black, rich, poor, gay, straight...see how well it'… https://t.co/8MP6qkHXHJ	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00e55e2b4c491c5f', 'url': 'https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json', 'place_type': 'city', 'name': 'Abuja', 'full_name': 'Abuja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]}, 'attributes': {}}	None	1179460637082226689	1179460637082226689	Bro-ho	Broe_hoe	Abuja, Nigeria	Rainbow flag bearer🌈Major bitch.💅🏻Wonderful weirdo🤪The opposite of Verse.yep, I'm Side. ↔️	00e55e2b4c491c5f	https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json	city	Abuja	Abuja, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 08:41:27 +0000 2020	1238747055071297536	1238747055071297536	Shouldn't JAMB be postponed because of #CoronaOutbreak?	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00817d75276a95cf', 'url': 'https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', 'place_type': 'city', 'name': 'Lagos', 'full_name': 'Lagos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]}, 'attributes': {}}	None	564029477	564029477	Ayodele Okunfolami	ayookunfolami	Lagos	Socio-political economist, sports analyst and change agent.	00817d75276a95cf	https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json	city	Lagos	Lagos, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 08:06:06 +0000 2020	1238738160865198081	1238738160865198081	*Once you sneeze or cough in public, people will be looking at you coronally.*#coronapocalypse #CoronaVirusUpdates… https://t.co/fTxzfuUg5a	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '0097ec862c79a257', 'url': 'https://api.twitter.com/1.1/geo/id/0097ec862c79a257.json', 'place_type': 'admin', 'name': 'Oyo', 'full_name': 'Oyo, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.695382, 7.055548], [2.695382, 9.196298], [4.575382, 9.196298], [4.575382, 7.055548]]]}, 'attributes': {}}	None	3339990809	3339990809	Emma Model	Apostle_Posh	Ibadan, Nigeria	🇳🇬|August 6 🎂||Model|	0097ec862c79a257	https://api.twitter.com/1.1/geo/id/0097ec862c79a257.json	admin	Oyo	Oyo, Nigeria	NG	Nigeria	NULL	Polygon	[[[2.695382, 7.055548], [2.695382, 9.196298], [4.575382, 9.196298], [4.575382, 7.055548]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 07:49:48 +0000 2020	1238734055929024512	1238734055929024512	Question of the Day:Following the #CoronaOutbreak and #CoronaVirusUpdates, will the Suspension Of Sporting Activi… https://t.co/6gKlBq5zFO	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '01ed1f9a43bfb9bd', 'url': 'https://api.twitter.com/1.1/geo/id/01ed1f9a43bfb9bd.json', 'place_type': 'city', 'name': 'Victoria Island', 'full_name': 'Victoria Island, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.402322, 6.396264], [3.402322, 6.486797], [3.601369, 6.486797], [3.601369, 6.396264]]]}, 'attributes': {}}	None	1128012685373771776	1128012685373771776	Caleb Olonitola	CalebOlonitola1	Lagos, Nigeria 	Special Assistant on Media to Bariga Council Chairman Hon. Alabi Kolade |P.R| Publisher @ http://olonitolacaleb.com| OAP , tweets are attributable to me.	01ed1f9a43bfb9bd	https://api.twitter.com/1.1/geo/id/01ed1f9a43bfb9bd.json	city	Victoria Island	Victoria Island, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.402322, 6.396264], [3.402322, 6.486797], [3.601369, 6.486797], [3.601369, 6.396264]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 07:45:33 +0000 2020	1238732989099638786	1238732989099638786	You cry for the dead 💀,Yet keep malice with the living. Are you living your life right??#CoronaVirusUpdates… https://t.co/x6UleCLOvP	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '01f06d712cfceb2f', 'url': 'https://api.twitter.com/1.1/geo/id/01f06d712cfceb2f.json', 'place_type': 'city', 'name': 'Addo', 'full_name': 'Addo, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.575005, 6.482568], [3.575005, 6.512794], [3.62434, 6.512794], [3.62434, 6.482568]]]}, 'attributes': {}}	None	968799239903105024	968799239903105024	bOy dEsignEr	twnty_6	None	Creative Designer | Creative Design Strategist | UI Designer | Brand Identity Designer | Lover Of God | Good Intentions	01f06d712cfceb2f	https://api.twitter.com/1.1/geo/id/01f06d712cfceb2f.json	city	Addo	Addo, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.575005, 6.482568], [3.575005, 6.512794], [3.62434, 6.512794], [3.62434, 6.482568]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 07:22:56 +0000 2020	1238727296682528768	1238727296682528768	Sey valentine has finished and it’s 1 month already 😂😂😂😂#SaturdayThoughts #CoronaVirusUpdates #CoronaOutbreak… https://t.co/OYdUTQYTa4	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '000409a36b038226', 'url': 'https://api.twitter.com/1.1/geo/id/000409a36b038226.json', 'place_type': 'city', 'name': 'Auchi', 'full_name': 'Auchi, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[6.228768, 7.035991], [6.228768, 7.09247], [6.296856, 7.09247], [6.296856, 7.035991]]]}, 'attributes': {}}	None	1055052779742478336	1055052779742478336	 NwaMbaise  mbaise1stborn  OBO forever	dhevine_x	Lagos, Nigeria	@davido number 1 fan ❤️🙏🏿                   Be faithful in small things because it is in them that your strength lies. Maintenance Engineer #Yung_Engineer	000409a36b038226	https://api.twitter.com/1.1/geo/id/000409a36b038226.json	city	Auchi	Auchi, Nigeria	NG	Nigeria	NULL	Polygon	[[[6.228768, 7.035991], [6.228768, 7.09247], [6.296856, 7.09247], [6.296856, 7.035991]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 07:21:29 +0000 2020	1238726931354472448	1238726931354472448	When Bayo got a call from his account officer that the land investment he acquired at Ibeju-Lekki in July 2019 at N… https://t.co/Fa1YqoMh6Y	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '01ed1f9a43bfb9bd', 'url': 'https://api.twitter.com/1.1/geo/id/01ed1f9a43bfb9bd.json', 'place_type': 'city', 'name': 'Victoria Island', 'full_name': 'Victoria Island, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.402322, 6.396264], [3.402322, 6.486797], [3.601369, 6.486797], [3.601369, 6.396264]]]}, 'attributes': {}}	None	166429437	166429437	Ikenna Nwosu	andynwosu	Lagos, Nigeria	Top Real Estate Salesman & Trainer in Nigeria. #ThisIkennaAuthor: 20 Ways to Profitable Investment In Nigeria.Contact: 08030529372 nwosuandy@yahoo.com	01ed1f9a43bfb9bd	https://api.twitter.com/1.1/geo/id/01ed1f9a43bfb9bd.json	city	Victoria Island	Victoria Island, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.402322, 6.396264], [3.402322, 6.486797], [3.601369, 6.486797], [3.601369, 6.396264]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 07:18:31 +0000 2020	1238726182784380929	1238726182784380929	I foresee global recession in wake of #CoronaOutbreak with all businesses been shot down #CoronaVirusUpdate #COVID19	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '01eddd9d0dbec2c8', 'url': 'https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json', 'place_type': 'city', 'name': 'Ikeja', 'full_name': 'Ikeja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]}, 'attributes': {}}	None	176325415	176325415	Damilare Odulawa	writedare	Everywhere around d world	Truth will speak for itself, believe changes will happen very soon. @arsenal fan to the core.	01eddd9d0dbec2c8	https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json	city	Ikeja	Ikeja, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 07:11:04 +0000 2020	1238724310623236096	1238724310623236096	Neatly used iPhone 6 for sale. N24k only. Need to complete the money for a new work machine. Help Retweet, thank y… https://t.co/13vd547DZc	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '011a942e0a0e8fb2', 'url': 'https://api.twitter.com/1.1/geo/id/011a942e0a0e8fb2.json', 'place_type': 'admin', 'name': 'Lagos', 'full_name': 'Lagos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.706304, 6.370388], [2.706304, 6.698546], [4.350022, 6.698546], [4.350022, 6.370388]]]}, 'attributes': {}}	None	419807704	419807704	Erhabor Festus Jr.	FOEJ_Swaggie	Lekki, Nigeria	Man Of Faith. || Creative Director: @swaggiewears	011a942e0a0e8fb2	https://api.twitter.com/1.1/geo/id/011a942e0a0e8fb2.json	admin	Lagos	Lagos, Nigeria	NG	Nigeria	NULL	Polygon	[[[2.706304, 6.370388], [2.706304, 6.698546], [4.350022, 6.698546], [4.350022, 6.370388]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 07:02:06 +0000 2020	1238722054691721216	1238722054691721216	Listen, protect yourself in any way... But this one is loud o #CoronaOutbreak https://t.co/s1YWJZfFw4	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00817d75276a95cf', 'url': 'https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', 'place_type': 'city', 'name': 'Lagos', 'full_name': 'Lagos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]}, 'attributes': {}}	None	339665557	339665557	T J I C A N	iamktj25	Nigerian	A believer, A marketer/ entrepreneur,A social media activist fan of @LFC, @Cristiano, @realmadriden and  @LilTunechi	00817d75276a95cf	https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json	city	Lagos	Lagos, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 05:44:44 +0000 2020	1238702581783953409	1238702581783953409	I saw Arnold trending on No. 1 and I was afraid Arnold Schwarzenegger had caught the corona virus.Phew... Thank Go… https://t.co/7hVaMu8CyZ	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '01eddd9d0dbec2c8', 'url': 'https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json', 'place_type': 'city', 'name': 'Ikeja', 'full_name': 'Ikeja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]}, 'attributes': {}}	None	191158795	191158795	Rayo Kasali #TheAether	RayoKasali	Lagos, Nigeria	The only true wisdom is knowing that I know nothing.• Curious Mind• Digital Marketing & Brand design pro• Photographer• Chronic Music lover• Creative Head	01eddd9d0dbec2c8	https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json	city	Ikeja	Ikeja, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 05:17:43 +0000 2020	1238695784503222273	1238695784503222273	Now that Sports has been suspended till April my folks won't have to disturb me for @DStv subscription. What's the… https://t.co/UZS6HEb5TR	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00a7279a3e6764fa', 'url': 'https://api.twitter.com/1.1/geo/id/00a7279a3e6764fa.json', 'place_type': 'city', 'name': 'Onitsha', 'full_name': 'Onitsha, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[6.807468, 6.111594], [6.807468, 6.18514], [6.912535, 6.18514], [6.912535, 6.111594]]]}, 'attributes': {}}	None	125699575	125699575	Diegwu Nwankwor	DiegwuNwankwor	None	FIFA & CAF Accredited Sports Journalist OAP with @wazobiaonitshaFounder of @DiegwuSportsSports Administrator FR/EN/ARdiegwunwankwor@gmail.com🇳🇬🇨🇲	00a7279a3e6764fa	https://api.twitter.com/1.1/geo/id/00a7279a3e6764fa.json	city	Onitsha	Onitsha, Nigeria	NG	Nigeria	NULL	Polygon	[[[6.807468, 6.111594], [6.807468, 6.18514], [6.912535, 6.18514], [6.912535, 6.111594]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 05:09:32 +0000 2020	1238693723527090177	1238693723527090177	Remember avoid crowded places, improve your personal hygiene, avoid unnecessary handshakes and hugs and stay health… https://t.co/mXjU8PcTFk	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '01a2d3e42a909c72', 'url': 'https://api.twitter.com/1.1/geo/id/01a2d3e42a909c72.json', 'place_type': 'city', 'name': 'Sangotedo', 'full_name': 'Sangotedo, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.602534, 6.465971], [3.602534, 6.480859], [3.640534, 6.480859], [3.640534, 6.465971]]]}, 'attributes': {}}	None	2785408872	2785408872	KINGSLEY(MUFC)	ifeenma	Lagos, Nigeria	Project HR Coordinator, Man Utd,Husband and Father, Devoted Catholic and Please Mind Your Language on My TL	01a2d3e42a909c72	https://api.twitter.com/1.1/geo/id/01a2d3e42a909c72.json	city	Sangotedo	Sangotedo, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.602534, 6.465971], [3.602534, 6.480859], [3.640534, 6.480859], [3.640534, 6.465971]]]	NULL	NULL	NULL	NULL	en
Sat Mar 14 05:06:55 +0000 2020	1238693064899727361	1238693064899727361	Since #CoronaOutbreak #COVIDー19 will not allow us enjoy the weekend watching football, do anything you can to stay… https://t.co/iA1MkMY4IN	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '01a2d3e42a909c72', 'url': 'https://api.twitter.com/1.1/geo/id/01a2d3e42a909c72.json', 'place_type': 'city', 'name': 'Sangotedo', 'full_name': 'Sangotedo, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.602534, 6.465971], [3.602534, 6.480859], [3.640534, 6.480859], [3.640534, 6.465971]]]}, 'attributes': {}}	None	2785408872	2785408872	KINGSLEY(MUFC)	ifeenma	Lagos, Nigeria	Project HR Coordinator, Man Utd,Husband and Father, Devoted Catholic and Please Mind Your Language on My TL	01a2d3e42a909c72	https://api.twitter.com/1.1/geo/id/01a2d3e42a909c72.json	city	Sangotedo	Sangotedo, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.602534, 6.465971], [3.602534, 6.480859], [3.640534, 6.480859], [3.640534, 6.465971]]]	NULL	NULL	NULL	NULL	en
